"magnetic field strength:0","magnetic field strength:1","magnetic field strength:2","magnetic flux density:0","magnetic flux density:1","magnetic flux density:2","potential","GeometryIds","magnetic field strength e:0","magnetic field strength e:1","magnetic field strength e:2","magnetic flux density e:0","magnetic flux density e:1","magnetic flux density e:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
3.2045e+05,893.02,0,-0.81864,0.0012111,0,-6.5453e-06,1,3.5219e+05,1061.4,0,-0.74326,0.0014669,0,1,0.0198,-0.0902,0,0
3.203e+05,903.48,0,-0.81343,0.0012244,0,-6.6249e-06,1,3.5219e+05,1061.4,0,-0.74326,0.0014669,0,1,0.02002,-0.08998,0,0
3.2016e+05,913.95,0,-0.80821,0.0012376,0,-6.7045e-06,1,3.5219e+05,1061.4,0,-0.74326,0.0014669,0,1,0.02024,-0.08976,0,0
3.2001e+05,924.42,0,-0.803,0.0012508,0,-6.784e-06,1,3.5219e+05,1061.4,0,-0.74326,0.0014669,0,1,0.02046,-0.08954,0,0
3.1987e+05,934.88,0,-0.79778,0.001264,0,-6.8636e-06,1,3.5219e+05,1061.4,0,-0.74326,0.0014669,0,1,0.02068,-0.08932,0,0
3.1972e+05,945.35,0,-0.79257,0.0012772,0,-6.9432e-06,1,3.5219e+05,1061.4,0,-0.74326,0.0014669,0,1,0.0209,-0.0891,0,0
3.1957e+05,955.82,0,-0.78736,0.0012905,0,-7.0227e-06,1,3.5219e+05,1061.4,0,-0.74326,0.0014669,0,1,0.02112,-0.08888,0,0
3.1943e+05,966.28,0,-0.78214,0.0013037,0,-7.1023e-06,1,3.5219e+05,1061.4,0,-0.74326,0.0014669,0,1,0.02134,-0.08866,0,0
3.1928e+05,976.75,0,-0.77693,0.0013169,0,-7.1819e-06,1,3.5219e+05,1061.4,0,-0.74326,0.0014669,0,1,0.02156,-0.08844,0,0
3.1914e+05,987.22,0,-0.77172,0.0013301,0,-7.2614e-06,1,3.5219e+05,1061.4,0,-0.74326,0.0014669,0,1,0.02178,-0.08822,0,0
3.1899e+05,997.69,0,-0.7665,0.0013433,0,-7.341e-06,1,3.5219e+05,1061.4,0,-0.74326,0.0014669,0,1,0.022,-0.088,0,0
3.1885e+05,1008.2,0,-0.76129,0.0013565,0,-7.4206e-06,1,3.5219e+05,1061.4,0,-0.74326,0.0014669,0,1,0.02222,-0.08778,0,0
3.187e+05,1018.6,0,-0.75608,0.0013698,0,-7.5001e-06,1,3.5219e+05,1061.4,0,-0.74326,0.0014669,0,1,0.02244,-0.08756,0,0
3.1855e+05,1029.1,0,-0.75086,0.001383,0,-7.5797e-06,1,3.5219e+05,1061.4,0,-0.74326,0.0014669,0,1,0.02266,-0.08734,0,0
3.1841e+05,1039.6,0,-0.74565,0.0013962,0,-7.6593e-06,1,3.5219e+05,1061.4,0,-0.74326,0.0014669,0,1,0.02288,-0.08712,0,0
3.1826e+05,1050,0,-0.74044,0.0014094,0,-7.7388e-06,1,3.5219e+05,1061.4,0,-0.74326,0.0014669,0,1,0.0231,-0.0869,0,0
3.1812e+05,1060.5,0,-0.73522,0.0014226,0,-7.8184e-06,1,3.5219e+05,1061.4,0,-0.74326,0.0014669,0,1,0.02332,-0.08668,0,0
3.1797e+05,1071,0,-0.73001,0.0014359,0,-7.8979e-06,1,3.5219e+05,1061.4,0,-0.74326,0.0014669,0,1,0.02354,-0.08646,0,0
3.1783e+05,1081.4,0,-0.7248,0.0014491,0,-7.9775e-06,1,3.5219e+05,1061.4,0,-0.74326,0.0014669,0,1,0.02376,-0.08624,0,0
3.1768e+05,1091.9,0,-0.71958,0.0014623,0,-8.0571e-06,1,3.5219e+05,1061.4,0,-0.74326,0.0014669,0,1,0.02398,-0.08602,0,0
3.1753e+05,1102.4,0,-0.71437,0.0014755,0,-8.1366e-06,1,3.5219e+05,1061.4,0,-0.74326,0.0014669,0,1,0.0242,-0.0858,0,0
3.1739e+05,1112.8,0,-0.70916,0.0014887,0,-8.2162e-06,1,3.5219e+05,1061.4,0,-0.74326,0.0014669,0,1,0.02442,-0.08558,0,0
3.1724e+05,1123.3,0,-0.70394,0.001502,0,-8.2958e-06,1,3.5219e+05,1061.4,0,-0.74326,0.0014669,0,1,0.02464,-0.08536,0,0
3.171e+05,1133.8,0,-0.69873,0.0015152,0,-8.3753e-06,1,3.5219e+05,1061.4,0,-0.74326,0.0014669,0,1,0.02486,-0.08514,0,0
3.1695e+05,1144.2,0,-0.69352,0.0015284,0,-8.4549e-06,1,3.5219e+05,1061.4,0,-0.74326,0.0014669,0,1,0.02508,-0.08492,0,0
3.1681e+05,1154.7,0,-0.6883,0.0015416,0,-8.5345e-06,1,3.5219e+05,1061.4,0,-0.74326,0.0014669,0,1,0.0253,-0.0847,0,0
3.1666e+05,1165.2,0,-0.68309,0.0015548,0,-8.614e-06,1,3.5219e+05,1061.4,0,-0.74326,0.0014669,0,1,0.02552,-0.08448,0,0
3.1651e+05,1175.6,0,-0.67787,0.001568,0,-8.6936e-06,1,3.5219e+05,1061.4,0,-0.74326,0.0014669,0,1,0.02574,-0.08426,0,0
3.1637e+05,1186.1,0,-0.67266,0.0015813,0,-8.7732e-06,1,3.5219e+05,1061.4,0,-0.74326,0.0014669,0,1,0.02596,-0.08404,0,0
3.1622e+05,1196.6,0,-0.66745,0.0015945,0,-8.8527e-06,1,3.5219e+05,1061.4,0,-0.74326,0.0014669,0,1,0.02618,-0.08382,0,0
3.1608e+05,1207,0,-0.66223,0.0016077,0,-8.9323e-06,1,3.5219e+05,1061.4,0,-0.74326,0.0014669,0,1,0.0264,-0.0836,0,0
3.1593e+05,1217.5,0,-0.65702,0.0016209,0,-9.0119e-06,1,3.5219e+05,1061.4,0,-0.74326,0.0014669,0,1,0.02662,-0.08338,0,0
3.1579e+05,1228,0,-0.65181,0.0016341,0,-9.0914e-06,1,3.5219e+05,1061.4,0,-0.74326,0.0014669,0,1,0.02684,-0.08316,0,0
3.1544e+05,886.74,0,-0.64947,0.0011512,0,-4.7871e-06,1,2.9698e+05,-1522.3,0,-0.81956,-0.0021038,0,1,0.02706,-0.08294,0,0
3.1493e+05,280.91,0,-0.6502,0.00029196,0,2.056e-06,1,2.9699e+05,-25588,0,-0.81956,-0.035363,0,1,0.02728,-0.08272,0,0
3.1429e+05,56.835,0,-0.65387,-2.3326e-05,0,3.7881e-06,1,2.7926e+05,-4347.5,0,-0.84405,-0.0060083,0,1,0.0275,-0.0825,0,0
